doi,date1,date2,date3
https://doi.org/10.1177/1464884905056815,2005,2005.0,2005
https://doi.org/10.1177/146488490100200201,2001,2001.0,2001
https://doi.org/10.1177/1464884905051009,2005,2005.0,2005
https://doi.org/10.1177/1464884909106533,2009,2009.0,2009
https://doi.org/10.1177/1464884911427803,2012,2011.0,2011
https://doi.org/10.1177/1464884911402451,2011,2011.0,2011
https://doi.org/10.1177/1464884911427802,2012,2011.0,2011
https://doi.org/10.1177/146488490452002,2004,2004.0,2004
https://doi.org/10.1177/1464884906068363,2006,2006.0,2006
https://doi.org/10.1177/1464884911427799,2012,2011.0,2011
https://doi.org/10.1177/1464884916688550,2018,2017.0,2017
https://doi.org/10.1177/1464884907076459,2007,2007.0,2007
https://doi.org/10.1177/1464884910367587,2010,2010.0,2010
https://doi.org/10.1177/1464884911410017,2011,2011.0,2011
https://doi.org/10.1177/1464884904044201,2004,2004.0,2004
https://doi.org/10.1177/1464884904044941,2004,2004.0,2004
https://doi.org/10.1177/1464884916673386,2018,2016.0,2016
https://doi.org/10.1177/1464884905051006,2005,2005.0,2005
https://doi.org/10.1177/146488490200300211,2002,2002.0,2002
https://doi.org/10.1177/1464884911431533,2012,2011.0,2011
https://doi.org/10.1177/1464884911427800,2012,2011.0,2011
https://doi.org/10.1177/1464884906065512,2006,2006.0,2006
https://doi.org/10.1177/1464884913486393,2014,2013.0,2013
https://doi.org/10.1177/146488490000100203,2000,2000.0,2000
https://doi.org/10.1177/146488490342001,2003,2003.0,2003
https://doi.org/10.1177/1464884912448918,2013,2012.0,2012
https://doi.org/10.1177/1464884907078657,2007,2007.0,2007
https://doi.org/10.1177/1464884913504259,2014,2013.0,2013
https://doi.org/10.1177/146488490200300301,2002,2002.0,2002
https://doi.org/10.1177/1464884906059428,2006,2006.0,2006
https://doi.org/10.1177/1464884910388223,2011,2011.0,2011
https://doi.org/10.1177/1464884911412697,2011,2011.0,2011
https://doi.org/10.1177/1464884914545441,2015,2014.0,2014
https://doi.org/10.1177/1464884919845458,2019,2019.0,2019
https://doi.org/10.1177/1464884910388224,2011,2011.0,2011
https://doi.org/10.1177/1464884904044938,2004,2004.0,2004
https://doi.org/10.1177/14648849030043005,2003,2003.0,2003
https://doi.org/10.1177/1464884909350644,2010,2010.0,2010
https://doi.org/10.1177/1464884913513996,2015,2013.0,2013
https://doi.org/10.1177/1464884906068361,2006,2006.0,2006
https://doi.org/10.1177/1464884911427797,2012,2011.0,2011
https://doi.org/10.1177/1464884913479015,2014,2013.0,2013
https://doi.org/10.1177/1464884915595474,2016,2016.0,2016
https://doi.org/10.1177/1464884910392851,2011,2011.0,2011
https://doi.org/10.1177/146488490000100113,2000,2000.0,2000
https://doi.org/10.1177/1464884911431538,2012,2011.0,2011
https://doi.org/10.1177/1464884910388228,2011,2011.0,2011
https://doi.org/10.1177/1464884916641269,2018,2016.0,2016
https://doi.org/10.1177/1464884914550135,2015,2014.0,2014
https://doi.org/10.1177/1464884910385188,2011,2011.0,2011
https://doi.org/10.1177/14648849030043001,2003,2003.0,2003
https://doi.org/10.1177/1464884918768500,2020,2018.0,2018
https://doi.org/10.1177/1464884907078659,2007,2007.0,2007
https://doi.org/10.1177/1464884913479055,2013,2013.0,2013
https://doi.org/10.1177/1464884918802975,2020,2018.0,2018
https://doi.org/10.1177/1464884907083115,2007,2007.0,2007
https://doi.org/10.1177/1464884908100601,2009,2009.0,2009
https://doi.org/10.1177/1464884906065518,2006,2006.0,2006
https://doi.org/10.1177/1464884911408219,2011,2011.0,2011
https://doi.org/10.1177/1464884904039556,2004,2004.0,2004
https://doi.org/10.1177/1464884914530223,2015,2014.0,2014
https://doi.org/10.1177/1464884905051008,2005,2005.0,2005
https://doi.org/10.1177/1464884911421705,2012,2011.0,2011
https://doi.org/10.1177/14648849030043006,2003,2003.0,2003
https://doi.org/10.1177/1464884909350642,2010,2010.0,2010
https://doi.org/10.1177/1464884905051010,2005,2005.0,2005
https://doi.org/10.1177/1464884915579332,2016,2016.0,2016
https://doi.org/10.1177/1464884919868325,2020,2019.0,2019
https://doi.org/10.1177/1464884912455899,2013,2012.0,2012
https://doi.org/10.1177/1464884911421696,2012,2011.0,2011
https://doi.org/10.1177/146488490000100301,2000,2000.0,2000
https://doi.org/10.1177/1464884909344480,2009,2009.0,2009
https://doi.org/10.1177/1464884911427804,2012,2011.0,2011
https://doi.org/10.1177/146488490100200206,2001,2001.0,2001
https://doi.org/10.1177/1464884912464179,2013,2012.0,2012
https://doi.org/10.1177/1464884912442638,2013,2012.0,2012
https://doi.org/10.1177/1464884912442286,2013,2012.0,2012
https://doi.org/10.1177/1464884912448915,2013,2012.0,2012
https://doi.org/10.1177/1464884908096240,2008,2008.0,2008
https://doi.org/10.1177/1464884911415973,2011,2011.0,2011
https://doi.org/10.1177/1464884914568078,2016,2015.0,2015
https://doi.org/10.1177/146488490100200204,2001,2001.0,2001
https://doi.org/10.1177/1464884910385289,2011,2011.0,2011
